Steps    Q        Rg       Backbone Rama     Contact  Fragment Membrane ER       TBM_Q    Beta     Pap      Helical  Debye_huckel Total   
41       0.68     11.23    149.58   -441.52  -96.71   -312.60  0.00     0.00     0.00     -22.84   0.00     0.00     -2.59    -726.68 
42       0.69     11.24    153.64   -449.92  -104.07  -313.43  0.00     0.00     0.00     -22.61   -0.00    0.00     -2.99    -739.38 
43       0.68     11.27    157.15   -451.87  -108.32  -312.51  0.00     0.00     0.00     -22.66   -0.00    0.00     -2.66    -740.87 
44       0.66     11.27    145.93   -453.01  -105.39  -302.31  0.00     0.00     0.00     -20.71   -0.00    0.00     -2.72    -738.20 
45       0.66     11.16    134.47   -453.02  -102.34  -307.36  0.00     0.00     0.00     -22.22   -0.00    0.00     -2.76    -753.23 
46       0.67     11.14    147.64   -451.11  -101.19  -305.29  0.00     0.00     0.00     -20.81   -0.00    0.00     -2.48    -733.23 
47       0.68     11.12    146.55   -455.75  -101.55  -310.04  0.00     0.00     0.00     -22.92   -0.00    0.00     -2.64    -746.35 
48       0.69     11.10    134.83   -451.49  -101.87  -309.88  0.00     0.00     0.00     -24.07   -0.00    0.00     -2.70    -755.18 
49       0.68     11.11    129.93   -454.08  -103.81  -307.77  0.00     0.00     0.00     -22.18   -0.00    0.00     -3.17    -761.07 
50       0.67     11.05    138.02   -460.16  -103.22  -301.78  0.00     0.00     0.00     -23.14   -0.00    0.00     -3.06    -753.35 
51       0.67     10.97    148.44   -457.54  -102.37  -308.16  0.00     0.00     0.00     -22.77   -0.00    0.00     -2.76    -745.17 
52       0.65     11.03    146.29   -455.33  -100.30  -310.43  0.00     0.00     0.00     -20.06   -0.00    0.00     -2.67    -742.52 
53       0.65     11.10    156.81   -455.87  -94.59   -313.61  0.00     0.00     0.00     -25.30   -0.00    0.00     -2.90    -735.46 
54       0.64     11.18    150.48   -444.16  -103.29  -311.81  0.00     0.00     0.00     -20.46   -0.00    0.00     -2.62    -731.86 
55       0.64     11.23    156.16   -455.47  -100.50  -310.16  0.00     0.00     0.00     -18.89   0.00     0.00     -2.80    -731.66 
56       0.64     11.21    147.03   -445.79  -98.43   -314.54  0.00     0.00     0.00     -21.73   -0.00    0.00     -2.54    -736.00 
57       0.64     11.10    145.61   -449.33  -97.95   -313.53  0.00     0.00     0.00     -24.23   0.00     0.00     -2.44    -741.88 
58       0.64     11.10    143.54   -453.22  -102.51  -305.95  0.00     0.00     0.00     -23.13   0.00     0.00     -2.89    -744.17 
59       0.64     11.14    150.49   -453.88  -106.40  -307.01  0.00     0.00     0.00     -22.42   0.00     0.00     -2.88    -742.10 
60       0.64     11.16    148.97   -453.66  -104.82  -309.56  0.00     0.00     0.00     -22.10   -0.00    0.00     -2.22    -743.39 
61       0.65     11.13    136.26   -450.61  -99.98   -310.82  0.00     0.00     0.00     -22.44   0.00     0.00     -2.71    -750.30 
62       0.65     11.11    141.44   -452.46  -96.09   -314.08  0.00     0.00     0.00     -24.15   -0.00    0.00     -3.01    -748.35 
63       0.66     11.10    138.30   -448.01  -97.04   -316.06  0.00     0.00     0.00     -21.65   0.00     0.00     -2.68    -747.15 
64       0.66     11.10    155.37   -449.67  -100.27  -312.70  0.00     0.00     0.00     -22.97   0.00     0.00     -2.72    -732.94 
65       0.65     11.11    139.14   -447.73  -101.07  -306.77  0.00     0.00     0.00     -20.72   -0.00    0.00     -2.18    -739.33 
66       0.66     11.09    141.11   -447.35  -99.91   -309.40  0.00     0.00     0.00     -21.72   0.00     0.00     -2.39    -739.67 
67       0.69     10.97    163.64   -453.94  -98.92   -315.12  0.00     0.00     0.00     -22.34   -0.00    0.00     -2.82    -729.49 
68       0.70     10.83    158.76   -451.67  -96.89   -310.91  0.00     0.00     0.00     -22.53   -0.00    0.00     -3.17    -726.39 
69       0.69     10.83    152.85   -447.09  -98.57   -313.36  0.00     0.00     0.00     -23.72   -0.00    0.00     -3.31    -733.19 
70       0.70     10.79    148.98   -447.01  -102.03  -311.33  0.00     0.00     0.00     -24.09   -0.00    0.00     -3.57    -739.05 
71       0.69     10.90    155.60   -449.21  -97.16   -309.73  0.00     0.00     0.00     -23.27   -0.00    0.00     -3.15    -726.92 
72       0.68     10.99    144.15   -451.67  -94.63   -304.44  0.00     0.00     0.00     -23.93   -0.00    0.00     -2.77    -733.28 
73       0.69     10.91    136.28   -452.74  -97.64   -309.45  0.00     0.00     0.00     -22.87   -0.00    0.00     -2.77    -749.20 
74       0.70     10.91    142.78   -448.42  -94.92   -313.25  0.00     0.00     0.00     -22.23   -0.00    0.00     -2.54    -738.59 
75       0.70     10.96    145.21   -447.94  -94.39   -312.75  0.00     0.00     0.00     -20.69   -0.00    0.00     -2.52    -733.08 
76       0.71     10.96    151.57   -445.78  -96.48   -312.72  0.00     0.00     0.00     -22.53   -0.00    0.00     -2.43    -728.36 
77       0.71     11.03    138.35   -447.34  -92.93   -312.39  0.00     0.00     0.00     -20.85   0.00     0.00     -3.01    -738.17 
78       0.71     11.04    144.59   -452.69  -97.72   -306.60  0.00     0.00     0.00     -20.55   0.00     0.00     -3.11    -736.09 
79       0.72     11.17    148.99   -456.66  -93.97   -312.67  0.00     0.00     0.00     -23.88   0.00     0.00     -2.86    -741.04 
80       0.71     11.27    146.25   -455.07  -94.38   -312.43  0.00     0.00     0.00     -22.09   0.00     0.00     -2.10    -739.82 
81       0.73     11.26    165.07   -456.33  -94.61   -317.01  0.00     0.00     0.00     -23.20   0.00     0.00     -2.75    -728.84 
82       0.72     11.32    148.44   -456.37  -96.51   -312.48  0.00     0.00     0.00     -24.49   0.00     0.00     -2.65    -744.05 
83       0.70     11.45    138.95   -456.86  -95.61   -310.70  0.00     0.00     0.00     -23.07   0.00     0.00     -2.27    -749.56 
84       0.70     11.43    142.96   -454.76  -96.82   -311.90  0.00     0.00     0.00     -21.58   0.00     0.00     -2.02    -744.11 
